# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 66775
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 66775
DATA ascii
0.26678765 -0.01652427 0.51238072
0.26773217 -0.016045809 0.512716
0.26857004 -0.015424371 0.51193523
0.26951236 -0.014947042 0.51226974
0.27045465 -0.01446972 0.51260424
0.27139693 -0.013992392 0.51293874
0.27222374 -0.013376556 0.51215404
0.27316383 -0.012900352 0.51248777
0.27410391 -0.012424156 0.51282144
0.27492183 -0.011812828 0.51203358
0.27585971 -0.011337757 0.51236653
0.27679759 -0.010862671 0.51269943
0.27760661 -0.010255832 0.51190847
0.27854228 -0.009781871 0.51224065
0.27947795 -0.0093079098 0.51257277
0.28041357 -0.0088339485 0.51290488
0.28121156 -0.0082327388 0.51210999
0.28214496 -0.0077599026 0.51244128
0.2830784 -0.0072870664 0.51277268
0.28401184 -0.0068142302 0.51310402
0.28494528 -0.006341394 0.51343536
0.28572994 -0.0057469159 0.51263571
0.28666115 -0.0052751973 0.51296628
0.28759235 -0.0048034936 0.51329684
0.28852358 -0.0043317825 0.51362741
0.28945482 -0.0038600639 0.51395798
0.29038602 -0.0033883527 0.51428854
0.29131725 -0.0029166341 0.51461911
0.29208416 -0.0023311377 0.51381314
0.29301316 -0.0018605441 0.51414293
0.29394215 -0.001389958 0.51447272
0.29470026 -0.00080894679 0.51366365
0.295627 -0.0003394857 0.51399261
0.29637843 0.00023814663 0.51318121
0.29730296 0.00070648268 0.51350939
0.29822755 0.0011748336 0.51383758
0.29897007 0.0017479658 0.51302296
0.29989243 0.0022151843 0.51335037
0.3006283 0.0027849674 0.51253343
0.30154845 0.0032510683 0.51286006
0.3024686 0.0037171692 0.51318669
-0.14338678 -0.24482283 0.48746628
-0.14151463 -0.24368033 0.48705274
-0.14032397 -0.24307722 0.4874754
-0.13913336 -0.24247411 0.48789802
-0.13727015 -0.24133614 0.48748136
-0.13608176 -0.24073413 0.48790321
-0.13422516 -0.23959956 0.48748425
-0.133039 -0.23899868 0.48790532
-0.13185278 -0.23839781 0.4883264
-0.13000509 -0.23726773 0.48790425
-0.12816182 -0.23613986 0.48748052
-0.1269801 -0.23554125 0.48790002
-0.12514338 -0.23441672 0.48747391
-0.12396383 -0.23381922 0.48789263
-0.12213391 -0.23269811 0.48746419
-0.12095657 -0.23210171 0.48788211
-0.11913323 -0.23098397 0.48745129
-0.11795816 -0.23038873 0.48786843
-0.11614147 -0.22927433 0.48743528
-0.11496857 -0.22868019 0.48785165
-0.11315852 -0.22756919 0.48741606
-0.11198786 -0.22697619 0.48783159
-0.11018452 -0.22586855 0.48739374
-0.10838559 -0.22476315 0.48695424
-0.10721937 -0.22417238 0.48736826
-0.10605311 -0.22358161 0.48778224
-0.10426304 -0.22248071 0.48733965
-0.10309902 -0.22189108 0.48775285
-0.101935 -0.22130144 0.48816606
-0.1001538 -0.22020504 0.48772028
-0.09899199 -0.21961653 0.48813272
-0.097217411 -0.21852344 0.48768455
-0.096057862 -0.21793604 0.48809615
-0.094898254 -0.21734864 0.48850781
-0.093738645 -0.21676126 0.48891941
-0.091975242 -0.21567383 0.4884674
-0.090817839 -0.21508756 0.48887822
-0.089660496 -0.21450129 0.48928908
-0.088503093 -0.21391502 0.48969993
-0.087345749 -0.21332875 0.49011075
-0.086188346 -0.21274248 0.49052161
-0.085030973 -0.21215621 0.49093243
-0.0838736 -0.21156994 0.49134329
-0.082130104 -0.21049261 0.49088413
-0.080974966 -0.20990747 0.49129421
-0.079819828 -0.20932233 0.49170426
-0.078664631 -0.20873716 0.49211431
-0.076932251 -0.20766547 0.49165127
-0.075779319 -0.20708144 0.49206051
-0.074626386 -0.20649743 0.49246979
-0.072902828 -0.20543021 0.49200356
-0.071183711 -0.20436522 0.49153572
-0.070035189 -0.20378345 0.49194342
-0.068886697 -0.20320168 0.49235111
-0.067176431 -0.2021412 0.49188015
-0.066030174 -0.20156056 0.49228707
-0.064326584 -0.20050347 0.49181375
-0.063182503 -0.1999239 0.4922199
-0.061485589 -0.19887018 0.49174419
-0.060343713 -0.19829178 0.49214953
-0.058653414 -0.19724138 0.49167147
-0.057513803 -0.19666411 0.49207601
-0.056374162 -0.19608684 0.49248058
-0.055234522 -0.19550954 0.49288511
-0.05355534 -0.19446482 0.49240315
-0.052417904 -0.19388862 0.49280694
-0.051280499 -0.19331248 0.49321067
-0.050143093 -0.19273631 0.49361444
-0.048474938 -0.19169717 0.49312854
-0.047339767 -0.19112213 0.4935315
-0.046204567 -0.19054709 0.49393448
-0.045069367 -0.18997206 0.49433744
-0.043412328 -0.18893854 0.49384764
-0.042279363 -0.18836464 0.49424982
-0.041146368 -0.18779071 0.494652
-0.040013403 -0.1872168 0.49505419
-0.038880408 -0.18664287 0.49545637
-0.03723672 -0.18561609 0.4949618
-0.036105931 -0.18504329 0.49536321
-0.0344688 -0.18401988 0.49486625
-0.033340245 -0.18344821 0.49526685
-0.03170982 -0.18242815 0.49476758
-0.030583531 -0.18185762 0.49516737
-0.028959751 -0.18084094 0.49466577
-0.027835637 -0.18027152 0.4950648
-0.026711524 -0.17970209 0.49546385
-0.025096625 -0.17868991 0.49495906
-0.023974717 -0.17812161 0.4953573
-0.022852823 -0.17755331 0.49575558
-0.02173093 -0.17698501 0.4961538
-0.020127103 -0.17597845 0.49564502
-0.019007415 -0.17541125 0.49604249
-0.017887741 -0.17484409 0.49643996
-0.016292781 -0.17384201 0.49592808
-0.015175313 -0.17327596 0.49632478
-0.013587028 -0.17227727 0.49581054
-0.012471795 -0.17171234 0.4962064
-0.010890156 -0.170717 0.49568984
-0.0093129277 -0.16972393 0.49517164
-0.0082021356 -0.16916123 0.49556598
-0.0070913136 -0.16859855 0.4959603
-0.0055229515 -0.16760993 0.49543893
-0.0039590448 -0.16662359 0.49491605
-0.0028526783 -0.16606316 0.49530879
-0.0017462969 -0.16550273 0.49570152
-0.00019127131 -0.16452089 0.49517548
0.00091290474 -0.16396156 0.49556744
0.0024613142 -0.16298306 0.49503902
0.0035632402 -0.16242486 0.4954302
0.0051049888 -0.16144975 0.49489942
0.006642282 -0.16047689 0.49436709
0.0077397823 -0.15992095 0.4947567
0.0092704296 -0.15895143 0.49422196
0.010796651 -0.15798418 0.49368569
0.012318447 -0.15701918 0.49314779
0.013835788 -0.15605642 0.4926084
0.015348703 -0.15509591 0.4920674
0.016435146 -0.15454558 0.49245304
0.017941386 -0.15358843 0.49190968
0.019443229 -0.15263353 0.49136478
0.020940632 -0.15168087 0.49081823
0.022433579 -0.15073046 0.49027017
0.072171748 -0.1228174 0.49283344
0.073218256 -0.12228729 0.49320492
0.073949158 -0.12211119 0.49454239
0.074997887 -0.12157996 0.49491468
0.076046616 -0.12104872 0.49528694
0.07709533 -0.12051748 0.49565923
